id,text,stance,category
21,سبعة عروض مختلفة للقاحات مزعومة<LF>#لقاح_كورونا #كوفيد_19 <LF>https://t.co/2ucmmgLeEq,0,info_news
22,خلال سنة ٢٠٢٠ لم يفرِّق الوباء بين الناس لا من ناحية الجغرافيا ولا العرق ولا الجنسية، ولذلك من حق الجميع الحصول على لقاح! <LF>#اللقاح_حق_للكل 💉,1,info_news
23,"البابا فرنسيس يحدد موعد تلقيه ""لقاح #كورونا""<LF>#سكاي_أخبار<LF>https://t.co/qPrMTFX8GE",1,info_news
24,اخواني وخواتي في إمارة عجمان والمدن القريبة نحن في انتظاركم في مركز لقاح كورونا في كلية فاطمة للعلوم الصحية في عجمان منطقة الرقايب خلف البيت متوحد مرحبا بكم ولا تشلون هم نحن هنا لخدمتكم <LF><LF>ساعات العمل من ٩ إلى ٦ المساء وممكن انمدد اءا كان الإقبال كبير,1,info_news
25,دراسة طبية: لقاح فايزر فعال ضد السلالة المتحورة من فيروس كورونا التي ظهرت في بريطانيا وجنوب افريقيا<LF>#الإمارات_اليوم,1,info_news
26,@USER ما في لقاح بيمنع الاصابة مية بالمية ولكن اذا انصاب الانسان بعد اللقاح بتكون الاصابة اخف بالاضافة انو ممكن اللقاح نفسه يعمل عوارض خفيفة للمرض على حسب مناعة جسم الانسان فيلي صار طبيعي يصير,1,personal
27,"🔴| متحدث التعليم : <LF>المعلمين والمعلمات لهم ""أولوية""<LF> بالحصول على لقاح كورونا .",1,plan
28,مستشار خادم الحرمين الشريفين الأمير عبدالإله بن عبـدالعـزيز يتلقى لقاح #كورونا.<LF>#اخبار #السعودية https://t.co/maM7QTCsoq,1,celebrity
29,الملك والأمير الحسن وولي العهد يتلقون لقاح #كورونا <LF><LF> وكالة عمون الاخبارية https://t.co/9QWUyLrwFf https://t.co/ZI3oVYMIOB,1,celebrity
30,#تونس: مبادرات للمشاركة بتمويل #لقاح_كورونا، ودعوات لاقتصار مجانيته على الفقراء <LF>https://t.co/5dVuQhMPef,1,info_news
31,رقم قياسي جديد! تم تطعيم 186 ألف مواطن خلال ال-24 ساعة الأخيرة مما يشكل رقما قياسيا جديدا في إسرائيل. كما تم حتى اللحظة تطعيم أكثر من 2.6 مليون إسرائيلي حيث 425 ألف منهم قد تلقوا الجرعة الثانية من اللقاح. 🇮🇱💪,1,plan
32,شكرا عامر الرجوب <LF>نعم الاعلام رسالة بس صار مع كورونا تطعيم 💉💉😂😂<LF>المهم توصل للناس الفكرة 🦠🦠 والله يحميك ويحمي الشعب الاردني   <LF>#بس_بقول,1,personal
33,أخصائي الأطفال والأمراض المعدية والأحياء الدقيقة الطبية الدكتور محمد الغنيم: <LF>يتطلب لقاح اكسفورد جرعتين تفصل بينهما مدة لا تقل عن أربع أسابيع<LF>#فيروس_كورونا #إسأل_الصحة <LF>#وزارة_الصحة https://t.co/RirCjmLn0X,1,info_news
34,إصابة 13 شخصا بشلل فى الوجه بعد تلقيهم لقاح #كورونا بإسرائيل<LF>بعد وفاه 23 فى النرويج  بعد تلقى نفس العقار ومش عارف مصر راحت تتعاقد على ايه,-1,info_news
35,"هذا الطفل هو ""باقر ابن مجتبى خامنئي، مجتبى خامنئي و زوجتة بنت ""حداد عادل "" مستشار خامنئي ، مجتبى خامنئي عقيم و لايسطيع الانجاب مما توسلوا الى البريطانيين و دفع 85 مليون بوند من ""مؤسسة المستضعفين"" للقاح الصناعي في #لندن ! <LF>فلماذا خامنئي يحظر لقاح #بريطانيا https://t.co/4gR1Ja1LR3",-1,info_news
36,وزير الصحة يؤكد على مأمونية لقاح #أسترازينكيا الذي حصلت عليه #السلطنه من #الهند ويعرف بطرق استخدامه.. ويوضح حول انتشار السلالة الجديدة من #كورونا ومعاليه يذكر: لبست الكمامة سلاحنا الوحيد.<LF><LF>https://t.co/9K2VTKuWof,1,info_news
37,#الشرق_عاجل رئيسة المفوضية الأوروبية تتوقع أن تقدم شركة أسترازينيكا 400 مليون جرعة  لقاح كما هو متفق عليه #عاجل,1,info_news
38,معالي وزير الصحة د توفيق الربيعة خلال زيارته مركز لقاح كورونا في #المدينة_المنورة واطلاعه على الخدمات المقدمة بالمركز ، ويأتي ذلك ضمن زيارة معاليه لتدشين عدداً من المشاريع الصحية بالمنطقة. https://t.co/us0dIxrG3c,1,plan
39,"#إيران تجيز استخدام اللقاح الروسي ""سبوتنيك في"" https://t.co/xjwoSlFsTV",1,info_news
40,وزير الصحة : القانون يجيز للحكومة تطعيم المواطنين اجبارياً 😳<LF>#يا_غنماتي_ماع_ماع,1,personal
41,أ. #ابتسام_الشهري متحدث #وزارة_التعليم:<LF>هناك أولوية لمنسوبي التعليم في أخذ لقاح #كورونا..<LF><LF>#برنامج_ياهلا<LF>#روتانا_خليجية https://t.co/5tSY2eNojg,1,info_news
42,في دبان طالع كل مهمته الدفاع عن لقاح كورونا ومهاجمة اي حد بشكك بفعاليته.. <LF>ول عليكم ما ازنخكم! 😏<LF>... <LF>ما بدي اقتنع انا حرة 😌👉<LF>أخو مراقي شي!!,0,personal
43,-لقاح فايزر الامريكي قطر شريكه في هذا المصنع وتم توفير اللقاح الحالي<LF><LF>-لقاح موديرنا الامريكي ايضا قطر شريكه في المصنع وسوف يتوفر قريبا في قطر<LF><LF>-حسب ماوصلني ان لقاح موديرنا اثبت فعاليه اكبر من لقاح فايزر<LF><LF> https://t.co/QELTn2OQsG,1,info_news
44,اليوم بحمد الله اخذت #تطعيم_كورونا بطريقة سلسلة وجميلة<LF>من دخولي الى انتهاء التطعيم لم يستغرق الأمر أكثر من عشر دقائق بالإضافة الى ١٥ دقيقة انتظار بعد التطعيم للتأكد من عدم ظهور أعراض حساسية<LF>جميع من يعمل في مركز التطعيم يحرجك بذوقه ولطفه واحترافيته<LF><LF>(ما رح اغثكم بصورة الفنيلة 😀) https://t.co/z4BWtc7dLu,1,personal
45,معالي الدكتور أحمد بن محمد السعيدي وزير الصحة يتلقى الجرعة الثانية من لقاح كوفيد١٩ بمجمع بوشر التخصصي https://t.co/Zjj1n8xKrp,1,celebrity
46,لغاية الان ظهر اكثر من لقاح لفيروس كورونا لذلك اتوقع وباذن الله تعالى ان اكثر لقاح سيكون عليه الطلب على مستوى العالم هو اللقاح الايراني لانه فعال وآمن في نفس الوقت.. https://t.co/KirFBB3V0E,1,info_news
47,"الجواز الصحي في #السعودية يهدف إلى التأكيد بأن الشخص قد أكمل جميع الجرعات الخاصة بلقاح فيروس كورونا وأصبح ""محصّناً"" https://t.co/sqadGYMCZt #العربية",1,info_news
48,@USER ياجماعة الخير كل واحد يتكلم بإختصاصه. لقاح جاء من دول الغرب ما صنعته و لا شاركت في تصنيعه و أتى في مدة قصيرة ولم يستوفي وقته من التجارب والملاحظات التي من المفترض أن تستمر سنوات حتى تتم الموافقة عليه أو رفضه تطلع يا خطيب الجمعة تزكيه و تمدحه خلاص الموضوع اختياري مهوب طلابه وشكرا!,-1,personal
49,#إسرائيل تقدم 2000جرعة تطعيم ضد كورونا كدفعة أولى من أصل 5000 للطواقم الطبية في السلطة الفلسطينية  يبقى السؤال :أين تذهب المساعدات المالية التي تقدم للشعب الفلسطيني  لمواجهة هذا الوباء!!!!!!!😏 https://t.co/PWZDutGFpp,1,plan
50,اليوم اسرائيل ارسلت لفلسطين لقاح ضد فيروس كورونا وقبلوها اخوانا الفلسطينيين 🙏 ويشتونا نحاربهم 😂,1,personal
51,"⭕توصل المغرب اليوم الجمعة 22 يناير 2021 بأولى دفعات اللقاح البريطاني ""أسترا-زينيكا "" الهندي الصنع من جمهورية الهند، وسيتوصل بالدفعة الأولى من لقاح ""سينوفارم ""يوم الأربعاء 27 يناير 2021 من جمهورية الصين الشعبية. (بلاغ من وزارة الصحة) https://t.co/GbvKkALQKW",1,info_news
52,فيه واحد فقدناه من الظهور الإعلامي عسى ما شر احد شافه احد يدري عنه احد منعه ولا مات. ولا عاكف على لقاح جديد لكرونا وبيطلع طلعه سمحه إنشاءالله جديده اتوقع يطلع في البيت #الابيض مع بايدن لا استغرب عرفتموه ولا نطلب صورته من ميدان الهجن 😂😂😂,0,personal
53,وزارة الصحة: <LF>• لقاح «استرازينيكا» في الكويت الأسبوع الجاري ويمنح على جرعتين بينهما من 4 إلى 12 أسبوعاً. https://t.co/jHlJU8fbWU,1,info_news
54,انا لو صاحب القرار<LF><LF>هطعم الدكاترة الأول وبعدهم أطعم شرم والغردقة واقفل عليهم وافتح السياحة عليهم من برة<LF>واي إيرادات اصرفها ع تطعيم الباقي,1,personal
55,تحذير جديد للراغبين في تلقي لقاح سبوتنيك ـ V<LF>&gt;&gt;https://t.co/8OTwt2RWJd https://t.co/bnVNhHQjxD,-1,celebrity
56,"#المفتي: التطعيم بـ #لقاح_كورونا ""واجب"" إذا أفاد المتخصصون بفاعليته<LF>#كورونا<LF>https://t.co/oHWaEfq7ZQ https://t.co/bmRSJatwza",1,info_news
57,الحمدلله على نعمة #السعودية <LF>تلقيت الجرعة الأولى من لقاح #كورونا المستجد <LF>تنظيم رائع بخبرات سعودية نفخر ونعتز بها 🇸🇦<LF>شكرًا قيادتنا العظيمة ، شكرًا وزارة الصحة. https://t.co/6OKreWIeip,1,personal
58,العقوبات تحرم دول مثل #كوبا و #ايران من انتاج #لقاح_آمن في الوقت المناسب https://t.co/dMw1OGmGhB,1,plan
59,🙇‍♂️🙇‍♀️: معقوله للحين ماحصلوا لقاح الكورونا<LF><LF>اهم نفسهم يعد توفير لقاح 🤔<LF><LF>🙅‍♂️🙅‍♀️: مافي امل اخذ لقاح مينون انا يصيدني شي بعدين<LF><LF>تشيكين فيليه 😑,1,personal
60,تم تأسيس جمعية الرفق بالعونية تحت رقم <LF>ط ز ١٩٨٨١٩٩٠ ع ن<LF>نشاط الجمعية :<LF>- العناية بالكلاب الداشرة<LF>- تطعيم الكلاب المتكلبنة <LF>- تلقيح الكلاب المسعورة<LF>- الاعتناء بالحيوانات وجعلها اليفة<LF>- الاهتمام بتربية الحيوانات الضآله وإعادتها للحضائر<LF>تعقد الجمعية اجتماعها الاول غداً الساعة ١١,0,unrelated
61,والدنا وقائدنا وقدوتنا <LF>الله يحفظك ويرعاك 🇸🇦<LF>#الملك_يتلقى_لقاح_كورونا https://t.co/80OsVT7dYf,1,celebrity
62,وزير الصحة: اقترحنا أن يكون لأصحاب الباتيسري الأولوية في تلقي لقاح كورونا https://t.co/JEGLcnP78K,1,requests
63,"أخذت قبل أسابيع الجرعة الأولى من لقاح فايزر. لم تظهر علي أعراضه والأهم لم تظهر علي الأعراض الشعبية (لم أتحول لضفدع ولم أنبح).<LF>قيل حينها هذه الأعراض تظهر بعد الجرعة الثانية التي تلقيتها بالأمس. لم تظهر الأعراض بعد.<LF>المضحك أن الفيك نيوز يلقى صدى، وأن هناك من ينتظر ""نباحك"" للإثبات🤷🏻‍♂️",1,personal
64,#ايران<LF>ايران تقول انها منعت استيراد لقاح<LF>كورونـاا من امريكا وأوربا لأنها تمتلك<LF>جهاز عجيب يكشف عن الفيروس من<LF>على بعد ١٠٠ متر  ‼️🤣🤦‍♂️ https://t.co/pTiuZ7VuFE,1,info_news
65,وصول أولى شحنات لقاح كورونا اليوم لمطار بوفاريك,1,info_news
66,"سكان #الإمارات يتفاعلون مع وسم ""#يدا_بيد_نتعافى"" على مختلف منصات وسائل التواصل الاجتماعي، بما يعكس الوعي المجتمعي بأهمية أخذ لقاح #كورونا والانتصار عليه عن طريق تحصين المجتمع<LF><LF>#TogetherWeRecover<LF>#عينك_على_العالم<LF>https://t.co/EYlcmTeEZi",1,info_news
67,🔴عاجل<LF><LF>وزير المالية السعودي يقول : <LF>نتفاوض مع العديد من الشركات لتوفير لقاح #كورونا لليمن والدول الفقيرة<LF>.<LF>.<LF>عز الله يعزك يالـسعودية العظمى يامملكة الانسانية<LF><LF>🇸🇦🇸🇦🇸🇦<LF><LF>#السعودية_العظمى <LF>#اليمن<LF>#الرياض_lلان,1,plan
68,أنا لبنانية مقيمة في الولايات المتحدة وتلقيت لقاح كوفيد-١٩ من يومين، من ضمن الـ٣٪ ممن تلقوا اللقاح وقبل ٩٧٪ من الأميركيين.<LF>متأكد أنك طبيب يا ناجي؟ بأفضل تقدير أنت بوق عنصري وشخص ساقط إنسانياً.<LF>اذا في شي حبة دوا للكره وصفها لحالك وارتاح. https://t.co/TZoW3ArZ78,1,personal
69,لكل من شكك بكفاءة تطعيم فايزر، اعرض لكم حالتي هذه ، انتهيت من التطعيم بالجرعة الثانية منذ حوالي ١٠ ايام ، و شاء القدر ان تصاب زوجتي بفايروس COVID-19 منذ اسبوع.,1,personal
70,الكلام المشبوه والافتراء للرئيس سعد الحريري الذي سافر من يومين لتأمين مليون لقاح لدرع الوطن الجيش اللبناني هل انتم تتوهمون وما زلتم تفكرون بالقصص التي يفكر به الحكيم عندما كان في زنزانته فأنت مخطىء ولست محلل ممكن يكون عاداك عون على حبوب   موتوا بغيظكم https://t.co/0fWlQ5Zowi,1,plan
71,"#تركيا ترسل 20 ألف لقاح #كورونا إلى ""#شمال_قبرص""<LF><LF>#مسك https://t.co/WWmtVG3dTI",1,plan
72,أية مهزلة هذه؟ لماذا التلقيح إذا؟<LF><LF>حذر نائب كبير المسؤولين الطبيين في إنجلترا من أن الأشخاص الذين تلقوا لقاح Covid-19 لا يزال بإمكانهم نقل الفيروس للآخرين ويجب عليهم الاستمرار في اتباع قواعد الإغلاق<LF>https://t.co/v20o2Dh4Rh,-1,info_news
73,خرجت للتو من اخذ الجرعة الاولى من لقاح #كوفيد_19 في مقر #معرض_الظهران_الدولية #اكسبو<LF>*قرار حكيم من الدولة<LF>*تنظيم نموذجي رائع من القائمين<LF>*استقبال وخلق كل العاملين والفنيين،فالف تحية لهم<LF>*ادعو كل من تنطبق عليهم إشتراطات اخذ اللقاح ان يبادروا بالتسجيل وعدم التهاون<LF>شكرا #وزارة_الصحة https://t.co/34a8csBCEk,1,personal
74,تويتر يغلق حساب خامنئي بالانجليزي بسبب تغريدة تحوي معلومات كاذبة عن لقاح #كورونا. https://t.co/tAhiEa9drs,0,rumors
75,إندونيسيا تخالف العالم: لقاح كورونا للصغار أولا https://t.co/oYpbZ3Db3V,1,info_news
76,فقط في #لبنان؛ ينتقدون من يجول العالم لتأمين لُقاح كورونا،و يُهلِلون لِمَن غدَرَه النُعاس سارِحاً في نومٍ عميق.<LF>ولكن،لا عجَبَ في الأمر،فلقد هلَلوا له سابقاً يومَ الهروب.,1,personal
77,تلقيت اليوم الجرعة الثانية من لقاح كوفيد 19 والحمد لله. نشكر قيادتنا الرشيدة على الرعاية الكريمة التي توليها للإنسان وصحة وسعادة المجتمع .. فلنتكاتف جميعاً من أجل أخذ التطعيم. https://t.co/nA8zIcHkRt,1,personal
78,ناطرين  اللقاح🙄<LF>لو انكن تلقحتوا ببيوتكم<LF>ما وصلنا لهون 😕<LF><LF>#اللقاح للي لازم تاخدوا هو لقاح ضد الجهل والغبا والاستهتار<LF><LF>#خلصت_الحكاية,1,personal
79,تركي بن هذلول يتلقى الجرعة الأولى من لقاح #كورونا.<LF><LF>https://t.co/OI0k1vQGFB https://t.co/rUzG4miwPR,1,celebrity
80,تلقي والدي مرعي بن محفوظ الجرعة الأولى من #لقاح_كورونا ولله الحمد .. كل الشكر لولاة الأمر حفظهم الله منذ بدء الجائحة وحتى توفير اللقاح ، وعلى حرصهم واهتماهم بسلامة المواطن والمقيم .. والشكر لـ #وزارة_الصحة على التنظيم والاحترافية في الاجراءات وعلى الكوادر الوطنية الرائعة https://t.co/SXEx05Nx8s,1,personal
81,عندما كان اللقاح متوفرًا بكميات وقبل كثير من دول العالم لم يتقدم كثيرين وفضلوا التنظير في مواقع التواصل عن سلبياته وتداعياته فهب الاجانب ونالوا اللقاح وصاحبنا مازال ينظر بفرضية المؤامرة أما اليوم فهو يتباكى على اطلال نظرياته ويتمنى لقاح ..<LF><LF>احيانًا بعضنا يدبل الكبد ..,1,personal
82,الصحة المصرية: خلال أيام سيتم تسجيل لقاح صيني وروسي وبريطاني,1,plan
83,تلقى #خادم_الحرمين_الشريفين لقاح #كورونا حرصًا منه سلمه الله على الوقاية من هذا الفيروس، وهذه المبادرة هي تأكيد على أن سياسة المملكة تكمن في الوقاية دائما قبل العلاج، #وزير_الصحة الدكتور توفيق الربيعة. #التواصل_الحكومي https://t.co/DsABknoE0p,1,celebrity
84,البروفيسور الياس رحال : وصول أولى جرعات #لقاح_كورونا قبل نهاية جانفي الجاري<LF> @USER <LF>https://t.co/LYSEdWE7KR https://t.co/sIpcoaVWks,1,info_news
85,لقاح فايزر بدو درجة حرارة -٧٠<LF>قالب جبنة حلوم اذا بتحطو يومين بالبراد بحمض ع قلة الكهربا🙃<LF>#ع_باس,0,personal
86,إدارة الغذاء والدواء الأميركية الحكومية تقول إن #لقاح_كورونا  مسموح في حالات الطوارئ فقط (وغير معتمد). لا یوجد لقاح معتمد.<LF><LF>رابط من موقعها بالعربي. أنت حر بأخذ اللقاح أو لا، لكن إن أخبرك الطبيب بأن اللقاح معتمد فهو يكذب. انشر الرابط لمن تعرف.<LF><LF>https://t.co/6r1vP0p6uq,1,info_news
87,الحكومة التركيه الارهابية تأخذ الشعب التركي كفئران تجارب حيثُ إنها تتفق مع الصين بتجارب لقاح كورونا علي الشعب التركي مقابل أخذ اللقاح مجانا<LF>@USER https://t.co/55SDlub2eN,0,plan
88,سمو الأمير #مقرن_بن_عبدالعزيز<LF>حفظه الله ورعاه يتلقى الجرعة الاولى<LF>من لقاح فيروس #كورونا  ومعالي وزير<LF>الصحة الدكتور توفيق الربيعة يستقبله<LF>في منطقة المعارض بمدينة #الرياض https://t.co/5lJbvf2g3E,1,celebrity
89,الشحنة الأولى من لقاح Sputnik V هي  50.000 جرعة بـ 1.5 مليار دج، ما يعني 30.000 دج للجرعة (3 ملايين سنتيم).<LF>للعلم أن قيمة لقاح Sputnik V هو 10 $ أي أقل من 1500دج للجرعة.<LF>أعتقد أن هناك شيئ غير طبيعي في الأرقام التي قدمها فورار ؟؟!!!!<LF>المهم بصحتكم 😉 https://t.co/cqEoYObasU,1,info_news
90,وينو الفنان يلي غنى ليلة راس السنة وراح اخد لقاح برا<LF>وينو اللبناني الجغل السهير يلي راسو ما بيحملو<LF>وينو اللبناني الحربوق يلي بقلك فش كورونا هيدي مؤامرة<LF>الله لا يسامح كل حدا وصلنا لهون<LF>رجل الله في الميدان💚<LF>#جمعية_الرسالة_للإسعاف_الصحي https://t.co/gaIn03E8g5,1,celebrity
91,أطر طبية بمدينة سلا تتلقى أولى جرعات لقاح فيروس كورونا.<LF>#كوفيد_19 #لقاح_كورونا #سلا #كورونا #covid19 #كورونا_المغرب #المغرب https://t.co/HXePF1nqL1,1,info_news
92,دراسة بريطانية تثبت أن لقاح #أسترازينيكا المضاد لفيروس #كورونا يوفر حماية بنسبة 76% بعد 22 يوماً من الجرعة الأولى وتوصي بتلقي الجرعة الثانية منه بعد 3 أشهر من الأولى https://t.co/2W1HgmWz3c #العربية,1,info_news
93,قمة الوقاحة إنو يجو يتهموك انك عنصري  كيف ما بدك تلقح الفلسطنيين واللاجئين السوريين من أموال الخزينة.<LF>مال الإحتياط دفعنا فيه ثمن لقاح كورونا<LF>بس سؤال ليش  NGO's ما بلقحو اللاجئين أو يدفعوا على الاقل ثمن لقاحاتهم<LF>ما بكفي إنو اللاجئين عم يستفيدو من الدعم وعم بيقبضوا مساعدات بالدولار https://t.co/nKNKiGWAEJ,1,requests
94,امريكا سبب دمار الشعوب كيف نأمن لها<LF>#نريد_لقاح_آمن,-1,requests
95,"صور.. تطعيم الرئيس ""أردوغان"" بلقاح ""كورونا""<LF>https://t.co/xzdN0fTtvV https://t.co/f97m26eH6X",1,celebrity
96,لو رفيق الحريري بعده بيناتنا، ما كنا عشنا هي الكارثة الاقتصادية او الصحية و ما كنا اضطرينا نبرم على ولا دولة نجيب لقاح لأن كان رح يوصل اللقاح بنفس الوقت يلي بيوصل على الامارات و المملكة العربية السعودية. https://t.co/XsYaqqDwo6,1,personal
97,طلعت مصطفى تتحمل تكاليف لقاح كورونا لـ 2 مليون مواطن https://t.co/YircoorlHy,1,info_news
98,أخذت اليوم في العاصمه الحبيبه الرياض  على تطعيم كوڤيد١٩، تنظيم رائع جدا ومهنية عالية، يعحز اللسان عن شكر ولاة أمرنا وحكومتنا الرشيده ممثلة في منسوبي وزارة الصحة على كل مايُقّدم للمواطن والمقيم.👌 https://t.co/U2ewryELuX,1,personal
99,امريكا الشيطان الكبر #نريد_لقاح_آمن,1,unrelated
100,الحمد لله تم أخذ الجرعة الأولى من لقاح كوفيد ١٩...<LF>جهود مميزه وتنظيم رائع وكوادر تستقبلك بالابتسامه والترحيب..<LF>شكراً للجميع<LF>ادام الله عزك يابلادي 🇸🇦🇸🇦🇸🇦 https://t.co/SZDbfj9UUn,1,personal
101,انا ما يرفع ضغطي الا اللي يدخل البقاله او المسجد بدون كمامه ومسوي نفسه لقاح فايزر و يصف جنبك<LF><LF>هالنوعيه ما تخاف ع نفسها بكيفها ولكن الاخرين ما لهم شغل فيك يا قوي<LF><LF>اتمنى والله تتضاعف غرامتها,0,personal
102,رغم تلقيه جرعتي لقاح فايزر...نائب في الكونغرس الأمريكي يصاب بكورونا https://t.co/D0dVb7okhV,-1,celebrity
103,مليونين لقاح رح يستفيد منن لبنان تقدمة من منظمة كوفاكس لأن اعتبرونا من البلدان الأكثر فقراً.<LF>انا كنت عارف انو جبلنا عندو بُعد نظر وعم يشتغل كرمال نصير فقراء كرمال شي سبب، طلعلنا لقاحات ببلاش.<LF>منحبك مون جنيرال 🧡🧡🧡🧡🧡,1,unrelated
104,مهم💡<LF><LF>ببساطه كيف يعمل لقاح كوفيد-١٩ 🔴,1,info_news
105,لقاح كورونا سيكون إختياري و ليس إجباري في لبنان..<LF><LF>إنتو رح تاخدوه ؟؟,1,personal
106,#الشرق_عاجل بروكسل تجيز استخدام لقاح أسترازينيكا ليكون الثالث في الاتحاد الأوروبي  #عاجل,1,info_news
107,"باكستان تتلقى 1.1 مليون جرعة كدفعة أولى من لقاح كورونا ""سينوفارم"" الصيني بحلول الأسبوع الأول من فبراير (وزير الصحة للأناضول) https://t.co/A49po5JMNf",1,plan
