,text,category,stance
3889,نريد التخلص من كورونا لكننا #نريد_لقاح_آمن,info_news,1
3910,امريكا تريد سد عجز أزمتها المالية الخانقة ببيع هذه اللقاحات التي لم يثبت لحد الان فاعليتها<LF>#نريد_لقاح_آمن,info_news,1
4019,اللقاح الأمريكي لم ينجح في الاختبارات السريرية ورغم ذالك تم اعتماده بشكل رسمي بسبب الوضع الحرج الذي تمر بها امريكا<LF>#نريد_لقاح_آمن,info_news,1
4176,عدوة  الشعوب التي ترفض استعمارها <LF>والنوايا الشيطانية  #نريد_لقاح_آمن,unrelated,0
4290,الدولة التي ملأت بلادنا باليورانيوم لا نريد منها لقاحاً<LF>#نريد_لقاح_آمن,personal,-1
4380,#نريد_لقاح_آمن حتى نأمن صحة اطفالنا في المستقبل,requests,1
4397,اللقاح لازم ينحفظ بدرجة حرارة ٧٠ دون الصفر والا يفقد فعاليته<LF>شلون راح نضمن هذا اللقاح آمن ؟ <LF>#نريد_لقاح_آمن,personal,1
4410,ما سبب الإصرار على اللقاح الأمريكي مع وجود مصادر أكثر أماناً #نريد_لقاح_آمن,personal,0
4429,اللقاح الأمريكي غالي ومو آمن #نريد_لقاح_آمن,info_news,1
4438,#نريد_لقاح_آمن حتى ترجع الحياة الى طبيعتها بعدما اوقف الفايروس كل شي,requests,1
4458,اللقاح الأمريكي مفروض على العراق فرضاً<LF>#نريد_لقاح_آمن,info_news,1
4469,الصحة العالمية تعارض طلب شهادة تطعيم لقاح كورونا كشرط للسفر.,restrictions,0
4473,الذي تفنن بقتلنا لا يؤتمن لكي نأخذ منه اللقاح #نريد_لقاح_آمن,others,1
4576,دعبول حضرتك منو انت وتطلب من قائد دولة إسلامية لقاح لعد ما اتابع الاخبار هم بكل مجالاتهم متفوقين وراح يطلع اللقاح قريباً<LF>#دعبول_دومه_مسحول,info_news,1
4580,اللقاح الأمريكي مفروض على العراق فرضاً<LF>#نريد_لقاح_آمن,plan,0
4653,منذ  متى وامريكا تحب العراق <LF>#نريد_لقاح_آمن,plan,1
4682,اللقاح الأمريكي غالي ومو آمن #نريد_لقاح_آمن,info_news,1
4844,#عاجل| #وزير_الصحة_التركي: بدء تطعيم المواطنين ممن تجاوزوا 90 عاما بلقاح كورونا من منازلهم اعتبارا من الثلاثاء,info_news,1
4999,لايمكن لراعيةِ الشر ان تهب الحياة.<LF>#نريد_لقاح_آمن,personal,-1
5007,ما سبب الإصرار على اللقاح الأمريكي يوجد إنه في الموضوع. #نريد_لقاح_آمن,info_news,-1
5010,تعمد عملاء الداخل يردون فرضه علينا <LF>هذه الفرضية من سرب المؤامرة <LF>#نريد_لقاح_آمن,info_news,1
5033,#نريد_لقاح_آمن حتى ترجع الحياة الى طبيعتها بعدما اوقف الفايروس كل شي,personal,1
5317,هناك مصادر لقاح أثبتت نجاحها غير أمريكا ويمكن استيراده <LF>#نريد_لقاح_آمن,info_news,1
5417,نريد التخلص من كورونا لكننا #نريد_لقاح_آمن,personal,1
5426,روسيا تعلن استعدادها لتزويد مصر بتكنولوجيا تصنيع لقاح كورونا (سبوتنيك V),plan,1
5436,اللقاح الأمريكي لم ينجح في الاختبارات السريرية ورغم ذالك تم اعتماده بشكل رسمي بسبب الوضع الحرج الذي تمر بها امريكا<LF>#نريد_لقاح_آمن,info_news,-1
5480,الخائن لا يؤتمن فكيف اذا كانت امريكا هي الخائن والقاتل.<LF>#نريد_لقاح_آمن,requests,1
5765,روسيا تعلن استعدادها لتزويد مصر بتكنولوجيا تصنيع لقاح كورونا (سبوتنيك V),info_news,1
5833,اللقاح الأمريكي غالي ومو آمن #نريد_لقاح_آمن,info_news,-1
5903,#نريد_لقاح_آمن حتى ترجع الحياة الى طبيعتها بعدما اوقفَ الفايروسَ كل شي,requests,1
5917,إغلاق مابنغلقش، مصل مابنجيبش، لقاح مابنلقحش، تحاليل مابنعملش، بطولات مابنأجلش، والفاتحة مش حافظينها.,unrelated,0
5922,الذي تفنن بقتلنا لا يؤتمن لكي نأخذ منه اللقاح #نريد_لقاح_آمن,personal,-1
5950,امريكا التي حددت موعداً لتجهيز العراق بالسلاح في حربهِ مع داعش بعد ٦ سنوات على خلافِ ايران التي زودتنا به خلال ٢٤ ساعة لا يمكن ان تستغفلنا ثانيةً في وهم اللقاح.<LF>#نريد_لقاح_آمن,personal,-1
5956,هناك مصادر لقاح أثبتت نجاحها غير أمريكا ويمكن استيراده <LF>#نريد_لقاح_آمن,info_news,1
5984,هناك مصادر لقاح أثبتت نجاحها غير أمريكا ويمكن استيراده <LF>#نريد_لقاح_آمن,info_news,1
6029,الذي تفنن بقتلنا لا يؤتمن لكي نأخذ منه اللقاح #نريد_لقاح_آمن,personal,-1
6135,محتاجين لقاح يقاوم الإفراط في التفكير.,unrelated,0
6217,ما سبب الإصرار على اللقاح الأمريكي يوجد إنه في الموضوع. #نريد_لقاح_آمن,info_news,1
6386,دعبول حضرتك منو انت وتطلب من قائد دولة إسلامية لقاح لعد ما اتابع الاخبار هم بكل مجالاتهم متفوقين وراح يطلع اللقاح قريباً<LF>#دعبول_دومه_مسحول,personal,1
6514,#نريد_لقاح_آمن حتى ترجع الحياة الى طبيعتها بعدما اوقف الفايروس كل شي,requests,1
6605,اللقاح الأمريكي غالي ومو آمن #نريد_لقاح_آمن,rumors,-1
6655,نطالب ممثل العرگچية بإيجاد لقاح كورونا كونه يقبع بالسلطة منذ سنين<LF>#دعبول_دومه_مسحول,info_news,1
6686,محتاجين لقاح يقلل من ال overthinking الي بيجي قبل النوم ده,info_news,1
6757,محتاجين لقاح يقاوم الإفراط في التفكير,info_news,1
6772,هيئة الأدوية الأوروبية تقر لقاح موديرنا المضاد لفيروس كورونا,info_news,1
6832,اللقاح الأمريكي مفروض على العراق فرضاً<LF>#نريد_لقاح_آمن,plan,1
6858,رئيس لجنة الصحة النيابية النائب عاصم عراجي: طلبنا ما يقارب الـ6 مليون لقاح وسنلقح 3 مليون لبناني وعلينا تلقيح المقيمين من كل الجنسيات الموجودة في لبنان,plan,1
6899,نبي لقاح ضد التفكير الزايد .,unrelated,0
6953,ببلدٍ مناخه مثل العراق سيتكبد ملايين الدولارات من الخسائرِ في حالِ شراءه لقاح فايزر الامريكي لأنه يحتاج الى درجة حرارة تصل الى ٧٠ درجة تحت الصفر من اجلِ الحفاظ عليه وهذا محال في العراق. <LF>#نريد_لقاح_آمن,info_news,1
