text,stance
بالمنطق وبعيداً عن الكيدية، على #الدولة_اللبنانية إعطاء لقاح #فيروس_كورونا للاجئين السوريين والفلسطينيين قبل غيرهم، بسبب الاكتظاظ السكاني ضمن #المخيمات حيث يصعب السيطرة على الفيروس في حال انتشاره، إضافةً إلى عدم توفر أدنى السبل الوقائية لديهم للحد من انتشاره,1
"شاكرة لنعمة وجودي في دولة تسعى لتأمين اللقاح لكافة الموجودين على أرضها قبل نهاية العام. لكن دعونا لا ننسى ""فقراء اللقاح"".أكثر من مئة دولة لم تحصل على أي دفعة بعد. وإلى أن يتمّ احتواء الوباء عالمياً، لا تتهاونوا في الاجراءات الوقائية! #لقاح #قطر #التزم_بالكمامة #كوفيد_19 https://t.co/HxC97dPoWp",1
😅افضل عقار لكورونا <LF>العقار اللى انت ساكن فيه<LF><LF>واحسن لقاح لكورونا انك تتلقح فى نفس العقار 😅😅😅😅😅😅😅😅😅😅😅,0
رابطة أطباء غازي عنتاب: عدد من الأطباء السوريين العاملين في المراكز الصحية التابعة لوزراة الصحة التركية في غازي عنتاب تلقوا الجرعة الأولى من لقاح فيروس كورونا,1
العاهل السعودي يتلقى لقاح كورونا.. وفيديو يرصد الحدث<LF>#عاجل <LF>https://t.co/7KhFDubwL0,1
النائب عن الحزب الديمقراطي الامريكي ماري نيومان تطالب نتنياهو بتوفير لقاح كورونا للاسرى الفلسطينيين، ردا على قرار حكومته استثناءهم من برنامج التلقيح.. نيومان سبق ان اصدرت موقفا مناهضا لسياسات الاستيطان وحصار غزة وجرائم الاحتلال ضد الفلسطينيين https://t.co/ou4X4XAJ7j,1
هذا زمن الجمهورية الإسلامية الإيرانية العظمى، إبتداءً من القوة الإيمانية والعلمية التي تمتلكها، إلى القوة العسكرية اللاّمتناهية، الى قوة الحب التي زرعتها في قلوب الأحرار في العالم كل العالم ..<LF>إنتظروا واستبشروا، فالفرج آتٍ لا محالة ..<LF>#لقاح_آمن,0
التنظيم والنظام والمهنية والبشاشة وجهود #وزارة_الصحة الجبارة تظهر بوضوح من خلال  ملامح الرضى والتبسم المرسومة على ملامح متلقي #لقاح_كوفيد_19 https://t.co/PXNe9ErvB4,1
سيأتي من دولة أمينة #لقاح_آمن <LF>🟩🟩🟩🟩🟩🟩🟩<LF>⬜⬜⬜❤⬜⬜⬜<LF>🟥🟥🟥🟥🟥🟥🟥 https://t.co/1NFxoGjrSM,1
فضيحة من العيار الثقيل.. سيد توكل يفضح خطة نظام #السيسي لتوزيع لقاح #فايزر للمسؤولين و #اللقاح_الصيني للشعب<LF>@USER<LF>#ملفات<LF>#مكملين https://t.co/FpwUAtXCSj,1
#إعلان<LF>تعلن إدارة المدرسة متمثلةً بممرضات الصحة المدرسية عن بدأ تطعيم طلاب الصف السادس ضد مرض التيتانوس و الديفتيريا .. عليه يرجى حضور الفئة المستهدفة للمدرسة في يوم الثلاثاء 2-2-2021 خلال فترة الدوام المدرسي متقيدين بتطبيق البروتوكول الصحي للحد من انتشار #كوفيد_19 https://t.co/0dP62CzY49,1
دراسة: لقاح «فايزر» يبدو فعالاً مع «كورونا المتحور»  <LF>https://t.co/q5QqI7luW1,1
عاجل 🔴 <LF>.<LF><LF>.<LF><LF>دراسة طبية لجامعة تكساس الأمريكية تؤكد :<LF><LF>لقاح فايزر فعال ضد السلالة المتحورة من فيروس كورونا التي ظهرت في بريطانيا وجنوب افريقيا.<LF>.<LF><LF>.<LF>أمريكا,1
مواطنة عمرها 100 عام تتلقى لقاح كورونا<LF>#عميد_الامارات https://t.co/7rqprQ7osX,1
🔴مباشرة <LF>#الأن وصول الطائرة العسكرية الى مطار بوفاريك والتي على متنها أول دفعة من لقاح سبوتنيك قادمة من العاصمة الروسية موسكو<LF>https://t.co/2U6dMEmEDC https://t.co/5M5rfKtvva,1
بسوق صبرا عالغبيري لاقوا لُقاح ل #كورونا_لبنان (حقنة زوم سردين) وهياهم عايشين بشكل طبيعي.<LF>@USER <LF>@USER https://t.co/DUS0Q8kcrp,1
#الشرق_عاجل استقالة منصف السلاوي رئيس فريق البيت الأبيض المكلف بتطوير لقاح كورونا    #عاجل,0
- لقاح فايزر/بيوانتك<LF><LF> وفقًا لبيانات شركة فايزر المنشورة في ديسمبر 2020 ، فإن لقاحها فعال بنسبة 52٪ تقريبًا بعد الجرعة الأولى.  (2),1
"أمير سعودي يجيب على اتهام بحصوله على ""واسطة"" لتلقي لقاح مضاد لفيروس كورونا https://t.co/OxWLxBNsd7",1
أفضل عقار لكورونا العقار الي انت فيه ... وأحسن لقاح لكورونا أنك تتلقح بنفس العقار #درهم_وقاية,-1
أهم ما یقدمه موقع |#مجاهدي_خلق الإیرانیة 12 ینایر 2021<LF>#إيران..العقوبة التلقائية لعدم شراء #لقاح_كوفيد_19  #كورونا<LF>وزارة الخارجية الأمريكية تدرج #الحوثيين اليمنيين وثلاثة من قادتهم في قائمة الإرهاب<LF>277 عملية #إعدام، بما في ذلك إعدام 12 سجيناً سياسياً في إيران عام 2020 https://t.co/Xra0pFak1c,0
لقاح #كورونا.. كنيسة #إنجلترا تتهم #الاتحاد_الأوربي بمخالفة المسيحية<LF>رابط تخطي الحجب: https://t.co/V8Li7WdoMF<LF>للمزيد: https://t.co/ufbVY7KLTT,0
عاجل | الرئيس الأمريكي #جو_بايدن: سنعمل على تطعيم 100 مليون شخص باللقاح المضاد لكورونا خلال المئة يوم الأولى في من فترتي الرئاسية<LF>• وجهت حكام الولايات والوكالات الفيدرالية بالتنسيق المشترك لمواجهة جائحة #كورونا<LF>• سأوقع إعلانا تنفيذيا بتعويض كل الولايات بسبب تداعيات فيروس كورونا,1
عاجل | أ ف ب: #فرنسا توصي باستخدام لقاح #أسترازينيكا المضاد لفيروس #كورونا لمن هم أقل من 65 عاما فقط,1
عضو لجنة الأوبئة عزمي محافظة للمملكة: الحوامل والمرضعات واللاتي يخططن للحمل يستثنين من أخذ مطعوم #كورونا<LF><LF>#عاجل #الأردن_100 #حكاية_100_عام #هنا_المملكة,1
#الحكومه: وصول 50 ألف جرعة من لقاح #استرازينيكا فى فبراير<LF>#كورونا<LF>للتفاصيل..<LF>https://t.co/OeGWXjqjUv,1
كامالا هاريس تتلقي الجرعة الثانية من لقاح كورونا  <LF>https://t.co/UlwCKGPFaa,1
إهداء لوالدنا وقائدنا #الملك_يتلقى_لقاح_كورونا 💚<LF><LF>بردًا سلامًا رب فاجعل نفعها<LF>عمرًا مديدًا كي يدوم سناه<LF>#الملك_سلمان<LF><LF>🖊 حروف:<LF>@USER<LF><LF>🎙 بصوتي:<LF>#علي_مشيبة https://t.co/aEh6TvYCmt,1
#الملك_يتلقى_لقاح_كورونا<LF><LF>لاحظوا مدة المقطع ٤٥ ثانية فقط .. راقب فيها ساعته مرتين .. وهناك قاعدة تحث على الدقة تقول ؛<LF>( أضبط ساعتك على مواعيد سلمان ) لأنه معروف منذ أن كان أمير الرياض بدقة مواعيده وإهتمامه بالوقت .<LF><LF>اللهم أحفظه بعينك التي لاتنام🤲🏻 https://t.co/S4EFZXlZme,1
بيل غيتس يجب ألا نعود كما كنا، رغم أننا سيكون بمقدرتنا صنع لقاحات بسرعة بفضل التقنية الجديدة (الموجودة في لقاح فايزر) علينا أن نكون مستعدين للوباء القادم ونريد أن نستثمر في الفحوصات وفي فريق متكامل نسميه فريق إطفاء الوبائيات يذهب حيث يوجد الوباء الجديد https://t.co/jjGRi5HFdH,1
"#دون_تعليق<LF>مدير منظمة الصحة العالمية:<LF>""أكثر من 39 مليون جرعة من اللقاح تم إعطاؤها حتى الآن في ما لا يقل عن 49 دولة ذات دخل مرتفع. وهناك 25 جرعة فقط أعطيت في أحد البلدان ذات الدخل المنخفض""<LF><LF>سلملي على كوفاكس وال 1.5 مليار لقاح تبع الفقراء<LF>#بس_هيك",1
"#الشرق_عاجل مصر تمنح الترخيص الطارئ لاستخدام لقاح ""كوفيشيلد-أسترازينيكا"" #عاجل",1
إصابة 13 شخصا بشلل فى الوجه بعد تلقيهم لقاح #كورونا بإسرائيل https://t.co/KdCCDNPubX,-1
"خبر سعيد للعالم..<LF>مختبر بايونتيك في بيان رسمي:<LF>#لقاح_كورونا ""#فايزر"" يتمتع بفعالية ضد السلالة البريطانية والجنوب إفريقية من فيروس كورونا المتحور، رسمياً لا خوف بإذن الله على من يأخذ اللقاح من أي سلالة لكورونا 👍 https://t.co/PBqeHUCTaI",1
🔴🔴اتصالات بين الجزائر و #روسيا لتصنيع لقاح #سبوتنيك_V في #الجزائر https://t.co/BJgWH3LcWi,1
🔴 الوزير الأول، وسط المواطنين، يتقدم لتلقي لقاح سبوتنيك V الروسي. https://t.co/UD66CCqPrB,1
فايزر تتوقع مبيعات بقيمة 15 مليار دولار من لقاح كورونا <LF>https://t.co/S10Iu6fgbe https://t.co/W4DggxByHY,1
#الصحة : ظهور حالة #محصن في #الجواز_الصحي بتطبيق #توكلنا بعد تلقي الجرعة الثانية من لقاح #كورونا .  <LF>#الوطن_اكثر_من_ذلك https://t.co/C7DPFACDZl,1
الصورة الكريمة لخادم الحرمين الشريفين الملك سلمان بن عبدالعزيز أبلغ من الكلام وهي تقطع كل من يشكك في استخدام هذا اللقاح<LF>#الملك_يتلقي_لقاح_كورونا<LF>| العميد متقاعد. حسن الشهري | أحداث 24 | https://t.co/vLYiK7iVXE,1
"قريبتي تلقت الجرعة الثانية من لقاح Pfizer،<LF>بعد اسبوع من الجرعة الثانية اتت نتيجة فحص antibodies ايجابية...<LF><LF>الآن اللقاح بدأ يعمل ضد #كورونا.<LF>#trustscience <LF><LF>*هي في اواخر اسابيع الحمل "" https://t.co/KNNMF19SEW",1
دراسة: لقاح فايزر بيونتيك فعال ضد فيروس #كورونا المتحور,1
بالفيديو<LF>وفاة 23 شخصاً بعد تلقي لقاح فيروس كورونا في النرويج..والسبب؟<LF>https://t.co/tmMtZWP1hr,-1
#اللقاح_للبناني_أولاً امس مشاهيركم عندنا يتسولون لقاح واليوم صرتوا أولاً شلون كذا,0
الحمدلله اخذت قبل شوي الجرعه الثانية من لقاح كورونا 🙏🏽 الله ينفع بها يارب ، والله يعز دولتنا وحكومتنا على كل شيء يقدمونه 🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ https://t.co/Ip4DzF7tB9,1
أعلن رئيس البلدية آبي بيناي أن مدينة #مكاتي قد حصلت على مليون جرعة من لقاح AstraZeneca Covid-19 https://t.co/mlY5l1dN1P,1
#اللقاح_للبناني_أولاً ردا على كمية الاستفراغ العنصري بالهاشتاغ. انا لبناني ، بتبرع ب ٥٠ لقاح مدفوع ل ٥٠ لاجى بالاراضي اللبنانية من ذوي الامراض المزمنة لما يتامن اللقاح المدفوع.  مين في يساعدني بتحديد المستفيدين؟,1
"#فيديو_واس | <LF>السفير الأمريكي لدى المملكة عقب تلقيه لقاح كوررنا #كوفيد_19: أؤكد للمجتمع الأمريكي هنا أن اللقاح آمن وفعال، والتنظيم والكفاءة السعودية اللذان شهدتهما اليوم كانا في غاية الروعة "".<LF>#نعود_بحذر <LF>#واس_عام https://t.co/Jh6AXmsmzF",1
هرولة الحكومة العراقية لـ شِراء لقاح فايزر الأمريكي ( أمريكا الدولة التي لحد الآن تتصدّر العالم بالإصابات ) هي خطوة مشبوهة خلفها مصالح أمريكية لـ كسب المال وأطراف حكومية فاسدة تشتري الجرعات بأسعار مضاعفة عما تشتريه باقي الدول لـ نفس اللّقاح !!<LF><LF>#نريد_لقاح_آمن,1
الدولة و الشعب هايجين من البارحة لان وحدة من المستشفيات ورا ما لقحت الستاف بقه 16 لقاح و ال pfizer لازم يستخدم خلال 5 ايام من تذويبه<LF><LF>المهم فه جانت حتخلص ال 5 ايام بذيج الليلة فابو المستشفى ملقح كرايب العاملين و من ضمنهم جهالة ثنين .. و كتب رسالة اعتذار و يابه جان حيروح بالزبل,1
الرئيس دياب ترأس اجتماع اللجنة الوزارية لمتابعة خطة لقاح وباء كورونا: صرخة الناس مفهومة ومسموعة، ونحن بحاجة للصبر أيامًا معدودة حتى نبدأ نلمس نتائج، لا نريد إهدار هذا الإقفال بقرارات متسرّعة - https://t.co/50MnfDtOtX https://t.co/UjgoWUf1ir,1
"#روسيا تعلن أن #لقاح_كورونا الثاني من معهد ""فيكتور"" فعال بنسبة 100%<LF><LF>#عاجل #فيروس_كورونا #هنا_المملكة",1
#الجزائر <LF>عملية إنتاج لقاح “#سبوتنيك_v” تنطلق الأسابيع المقبلة<LF><LF>https://t.co/L7NUnXHQv4,1
نائب أمير الرياض يتلقى الجرعة الأولى من لقاح #كورونا.<LF><LF>https://t.co/2biIJM8fB4 https://t.co/3JeMYb0hBI,1
أبو هشيمة يتبرع بـ 2 مليون جنيه على الهواء «مبدئيا» لصندوق تحيا مصر لتوفير لقاح كورونا.. فيديو https://t.co/7ZvWzs9m8i,1
الاتحاد الأوروبي يوافق على لقاح أسترازينيكا المضاد لكورونا لمن هم فوق 18 عاماً https://t.co/vyO6huUFDo,1
قدمت الإمارات أكثر من 3 ملايين و114 ألف جرعة من لقاح كورونا الله يحفظك يا وطني على كل مجهوداتك 👌🇦🇪<LF> #اخترت_التطعيم<LF>⁩ ⁧#يدا_بيد_نتعافى⁩,1
عاجل | تلقى خادم الحرمين الشريفين الجرعة الأولى من لقاح #كورونا<LF><LF>#COVID19 <LF>#يدا_بيد_نتعافى<LF>#TogetherWeRecover <LF>#عينك_على_العالم https://t.co/lwfrEYR8Rd,1
أنقرة.. أردوغان يتلقى جرعة أولى من لقاح “كورونا”<LF>التفاصيل: https://t.co/NfPm0nRhrz,1
عندما ينزل الدجال سيكون مكتوب على جبينه كافر ومع ذلك يتبعه خلق كثير.<LF>لا بد أن الناس حينها تعرضوا لسحر او ربما لقاح من نوع ما. 🤔,-1
بشارة ريادة علمية وطنية :معهد الأبحاث الطبية بجامعة الإمام عبد الرحمن بن فيصل بالمنطقة الشرقية توصل إلى لقاح ضد كوفيد١٩ بقيادة د إيمان المنصور ( دكتورة الهندسة الطبية الحيوية والتقنية). ثقتي في هذااللقاح أكبر من غيره لانتفاء التنافس التجاري فيه وعدم التسرع في الإعلان عنه.,1
قالت اشتقتلكن اخدت ١٠٠٠ لايك 🤦🏻‍♂️، ليش ع شو؛ شو في.. شو عملت adding value للحياة مثلاً.. لك لقاح كورونا ما اخد هلقد 🙂,0
و لله الحمد <LF>تلقيت الجرعة الثانية من لقاح كورونا ، منسوبي وزراة الصحة من أبناء و بنات الوطن يستحقون الشكر و التقدير على حسن التنظيم و  تعاملهم الراقي و اخلاقهم الرفيعة.<LF>الحمد و الشكر لله الذي أكرمني بوطن 🇸🇦 يقدم الانسان على كل شيء <LF>وطن لم يفرق بين مواطن و مقيم بل حتى المخالف .,1
"الصحة  تعلن تقديم 95,783 جرعة من لقاح #كوفيد_19 خلال الساعات الـ 24 الماضية، والعدد الإجمالي حتى اليوم 2,161,150 جرعة.<LF>#وام https://t.co/O6K2VnwWUz",1
وفاة أشخاص تلقوا لقاح #كورونا، والسلطات الصحية الأوروبية تنفي علاقة ذلك بأعراض التطعيم<LF>#العربي_اليوم https://t.co/OEuxhnhJv8,-1
